,<5 years,,5-9 Years,,5-14 Years,,15-19 years,,20-24 Years,,25-29 Years,,30-34 Years,,35-39 Years,,40-44 years,,45-49 years,,50-54 Years,,55-59 Years,,60-64 Years,,65-69 Years,,70-74 Years,,75-84 Years,,85+ years,
Prevalence Rate,Male,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,,
1990,18.07 22.88 14.01,16.53 21.89 11.84,61.76 84.93 42.77,74.58 102.93 51.39,83.59 111.10 61.74,103.56 136.12 76.92,140.28 183.95 105.49,170.83 222.48 130.03,168.77 211.33 131.99,196.18 243.97 155.50,198.28 244.27 159.18,221.55 271.93 178.74,223.80 273.81 183.83,243.58 297.22 200.31,234.02 280.49 196.55,250.45 300.55 208.11,253.94 301.34 215.98,270.10 320.66 227.93,262.78 309.92 222.78,280.43 331.25 236.02,265.82 313.38 224.18,283.79 336.02 238.86,270.48 319.56 230.28,289.70 343.12 246.51,283.01 334.91 241.94,302.75 360.73 259.02,295.02 347.53 253.88,315.88 372.65 271.67,295.92 348.59 252.66,318.63 373.38 271.47,313.39 368.34 265.46,342.27 398.90 291.46,336.56 402.00 280.50,393.02 467.71 333.00
1991,18.32 23.05 14.27,16.67 22.03 12.03,61.77 84.74 42.94,74.31 102.25 51.45,84.02 111.47 62.29,103.56 135.92 77.02,141.97 185.74 106.91,171.78 223.28 130.90,169.90 212.30 133.15,196.91 244.56 156.20,196.56 241.59 158.15,219.31 269.21 177.20,226.78 277.24 186.57,245.64 299.08 202.08,235.31 281.79 197.80,251.13 300.58 208.98,255.04 302.72 217.15,269.78 319.95 227.64,264.76 312.56 224.58,281.38 332.14 237.09,269.38 317.66 227.56,286.14 338.33 241.02,271.97 320.70 231.88,290.16 343.81 246.96,283.01 336.33 243.11,303.11 361.14 259.18,296.50 349.36 255.14,316.42 373.48 271.81,300.06 352.98 256.28,322.02 377.17 274.79,317.05 372.99 268.71,345.23 402.26 294.03,340.83 407.37 284.09,397.77 473.40 336.84
1992,18.63 23.31 14.60,16.85 22.26 12.20,61.84 84.62 43.13,74.09 101.68 51.40,84.44 111.84 62.78,103.57 135.77 77.11,143.94 187.87 108.58,173.02 224.44 132.03,171.28 213.60 134.37,197.83 245.39 157.04,195.43 239.76 157.56,217.75 267.35 176.24,228.16 278.56 187.98,246.12 299.07 202.55,237.55 284.52 199.83,252.82 301.86 210.67,255.14 303.17 217.41,268.75 318.48 226.97,268.54 317.04 227.86,283.66 334.39 239.38,272.89 321.84 230.81,288.44 340.50 243.18,274.19 323.07 234.02,291.15 344.92 247.88,285.37 337.48 244.09,303.30 361.22 259.39,297.71 350.86 256.31,316.61 373.64 271.85,304.93 358.37 260.74,326.02 381.46 278.83,319.94 376.64 271.32,347.58 405.19 296.44,345.13 412.51 287.94,402.40 478.06 340.75
1993,18.96 23.63 14.93,17.05 22.49 12.39,62.03 84.67 43.41,74.02 101.44 51.48,84.86 112.23 63.26,103.64 135.72 77.23,145.95 190.18 110.30,174.37 225.66 133.27,172.73 215.02 135.55,198.77 246.32 157.84,195.11 239.35 157.54,217.10 266.62 175.94,227.62 277.63 187.76,244.80 296.97 201.70,241.12 288.83 202.96,255.79 304.98 213.42,254.61 302.82 217.04,267.15 316.38 225.77,271.91 320.67 230.78,285.55 336.15 241.33,276.73 326.20 234.34,291.37 343.24 245.89,277.31 326.52 236.89,292.98 347.07 249.55,286.31 338.45 244.88,303.36 361.05 259.55,299.05 352.55 257.75,316.98 373.79 272.24,309.31 363.02 265.04,329.53 384.98 282.40,322.16 379.38 273.44,349.30 407.29 298.46,350.26 418.34 292.78,407.60 483.73 345.61
1994,19.28 23.93 15.24,17.26 22.72 12.58,62.35 84.92 43.69,74.14 101.45 51.75,85.22 112.53 63.70,103.75 135.78 77.36,147.69 192.31 111.74,175.59 226.94 134.40,174.20 216.52 136.82,199.68 247.28 158.54,195.42 239.81 157.99,217.14 266.78 176.14,226.10 275.60 186.68,242.65 294.07 200.13,245.21 293.30 206.50,259.34 308.93 216.61,255.67 304.29 218.06,267.20 316.30 225.91,272.23 320.67 231.13,284.86 334.92 241.09,280.46 330.26 237.77,293.85 345.69 248.19,280.93 330.60 240.15,295.64 350.19 251.89,287.05 339.07 245.51,303.27 360.61 259.70,299.76 353.48 258.84,316.97 373.46 272.49,312.70 366.41 268.54,332.35 387.43 285.28,324.37 381.85 275.69,350.91 409.03 300.56,355.20 423.56 297.63,412.30 488.41 350.78
1995,19.62 24.24 15.54,17.48 22.95 12.76,62.82 85.44 44.06,74.45 101.92 52.15,85.55 112.80 64.08,103.90 135.95 77.58,149.09 194.10 112.87,176.53 227.92 135.19,175.76 218.20 138.19,200.59 248.34 159.22,196.26 240.75 158.81,217.69 267.57 176.67,224.03 272.96 185.08,240.16 290.98 198.20,249.13 297.54 209.85,262.73 312.79 219.60,255.19 303.77 217.72,266.33 315.43 225.22,274.74 323.41 233.32,286.00 335.92 242.34,283.53 333.60 240.62,296.07 347.87 250.22,284.28 334.59 243.17,297.87 352.69 253.83,287.88 339.77 246.33,303.27 360.37 259.74,300.29 353.54 259.69,317.07 373.20 272.87,314.47 367.57 270.64,333.61 387.97 286.73,327.07 384.51 278.60,353.07 411.11 303.39,360.14 428.39 302.49,417.09 492.77 356.05
1996,20.03 24.78 15.97,17.75 23.23 12.98,63.60 86.25 44.87,75.07 102.65 52.75,86.07 113.64 64.52,104.24 136.31 77.85,150.39 195.55 113.87,177.29 228.99 135.97,177.66 220.70 139.68,201.70 249.76 159.99,197.75 242.46 160.07,218.78 268.58 177.39,222.37 270.98 183.84,237.97 288.25 196.34,252.20 301.09 212.62,265.18 315.51 221.67,256.82 305.25 219.41,267.67 316.97 226.59,276.07 324.89 234.60,286.04 335.93 242.58,285.69 336.30 242.80,297.25 348.94 251.41,288.32 339.06 246.95,300.93 355.96 256.74,289.35 341.63 247.86,303.96 361.01 260.32,301.55 355.18 260.79,317.85 374.14 273.81,315.56 368.84 271.84,334.38 388.55 287.64,330.78 388.31 282.42,356.41 414.39 306.31,365.89 435.23 307.56,422.64 498.93 361.44
1997,20.49 25.39 16.44,18.06 23.55 13.28,64.67 87.53 45.91,75.96 103.70 53.57,86.84 114.77 65.19,104.81 136.96 78.31,151.57 197.15 114.79,177.89 229.86 136.67,180.09 223.80 141.63,203.25 251.72 161.31,199.58 244.55 161.64,219.99 269.75 178.20,221.71 270.22 183.43,236.71 286.72 195.29,253.84 302.99 214.19,266.07 316.41 222.42,259.83 308.36 222.25,270.35 320.13 229.13,276.61 325.45 235.28,285.60 335.42 242.43,290.54 342.12 247.28,300.50 352.59 254.62,292.83 344.27 251.02,304.43 359.91 259.94,292.37 345.34 250.61,305.93 363.27 262.16,303.40 357.40 262.42,319.20 375.76 275.28,317.14 370.86 273.43,335.76 389.90 288.96,335.41 393.05 287.15,360.66 418.69 309.98,372.33 442.84 313.93,428.71 505.92 367.23
1998,20.96 26.01 16.90,18.39 23.93 13.58,65.86 88.97 47.05,76.98 104.90 54.47,87.77 115.97 65.99,105.54 137.82 78.95,152.47 198.56 115.46,178.23 230.41 137.16,182.72 227.08 143.74,205.03 253.93 162.88,201.55 246.86 163.25,221.15 270.91 178.95,222.12 270.78 183.92,236.49 286.63 195.11,253.61 302.72 214.22,265.01 315.04 221.52,264.44 313.50 226.49,274.52 325.07 232.90,276.71 325.47 235.41,284.72 334.43 241.86,295.04 347.46 251.46,303.47 356.02 257.57,298.08 350.42 255.69,308.74 364.67 263.78,296.74 350.30 254.56,309.13 366.90 265.11,305.60 359.47 264.34,320.69 377.66 276.70,319.37 373.68 275.61,337.70 392.09 290.41,339.74 397.40 291.68,364.48 422.44 313.19,379.73 451.44 321.24,435.02 513.21 373.22
