Type 1,<5 years,,5-9 Years,,5-14 Years,,15-19 years,,20-24 Years,,25-29 Years,,30-34 Years,,35-39 Years,,40-44 years,,45-49 years,,50-54 Years,,55-59 Years,,60-64 Years,,65-69 Years,,70-74 Years,,75-84 Years,,85+ Years,
Prevalence Rate,Male,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
1990,10.61,14.76,45.03,77.15,62.76,101.38,124.62,167.45,160.93,194.17,185.79,212.37,205.6,226.61,220.3,238.13,230.44,247.1,237.26,253.56,241.14,258.02,243.22,261.4,243.16,262.8,237.55,257.96,226.31,246.36,205.43,220.95,170.12,170.91
1991,10.7,14.76,45.11,76.56,63.13,101.15,125.29,167.48,162,194.67,187.34,213.15,207.86,227.62,223.81,239.46,233.67,248.89,240.88,255.81,245.18,260.53,247.51,264.08,247.57,265.57,242.04,260.82,230.94,249.24,210.07,223.64,173.94,174.22
1992,10.77,14.75,45.21,76.14,63.73,101.29,125.95,167.56,163.06,195.17,188.84,213.89,209.97,228.65,226.83,240.89,237.01,250.78,244.59,258.11,249.27,263.09,251.84,266.81,252.02,268.39,246.52,263.68,235.41,252.1,214.3,226.46,177.39,177.32
1993,10.83,14.73,45.32,75.85,64.46,101.7,126.61,167.67,164.06,195.6,190.26,214.52,211.85,229.56,229.22,242.19,239.99,252.48,247.88,260.15,252.88,265.36,255.68,269.22,255.97,270.87,250.49,266.19,239.3,254.63,217.92,229.09,180.31,179.93
1994,10.89,14.72,45.43,75.69,65.27,102.3,127.23,167.78,164.99,195.93,191.56,214.97,213.41,230.22,230.81,243.13,242.16,253.7,250.27,261.61,255.5,266.99,258.5,270.94,258.89,272.65,253.44,267.98,242.19,256.47,220.68,231.15,182.52,181.69
1995,10.95,14.72,45.55,75.64,66.09,102.99,127.82,167.86,165.84,196.1,192.71,215.17,214.56,230.47,231.42,243.5,243.05,254.17,251.27,262.17,256.61,267.62,259.76,271.62,260.25,273.36,254.88,268.72,243.65,257.29,222.3,232.29,183.85,182.37
1996,11.02,14.77,45.73,75.86,66.9,103.83,128.46,168.07,166.68,196.36,193.77,215.48,215.62,230.77,232.01,243.83,243.7,254.53,251.93,262.54,257.38,268.06,260.64,272.05,261.18,273.83,255.83,269.32,244.6,258,223.44,233.26,184.5,182.73
1997,11.11,14.86,46.01,76.38,67.7,104.8,129.19,168.52,167.59,196.9,194.81,216.15,216.88,231.53,233.38,244.66,245.15,255.41,253.46,263.49,259.04,269.09,262.38,273.06,262.92,274.91,257.47,270.66,246.1,259.41,224.84,234.71,184.97,183.48
1998,11.19,14.96,46.32,77.02,68.4,105.72,129.92,169.07,168.51,197.58,195.83,217,218.23,232.51,235.15,245.76,247.01,256.58,255.44,264.74,261.15,270.43,264.57,274.4,265.09,276.31,259.52,272.27,247.94,261.07,226.45,236.28,185.37,184.19
1999,11.23,15.04,46.56,77.57,68.92,106.44,130.56,169.58,169.37,198.23,196.83,217.82,219.56,233.5,236.97,246.87,248.91,257.76,257.44,266,263.3,271.76,266.81,275.8,267.34,277.7,261.68,273.67,249.92,262.52,228.18,237.59,185.87,184.6
2000,11.24,15.06,46.68,77.85,69.22,106.82,131.02,169.91,170.1,198.72,197.78,218.44,220.77,234.28,238.44,247.75,250.46,258.71,259.04,266.98,265.04,272.8,268.71,276.97,269.29,278.77,263.67,274.4,251.85,263.3,229.96,238.23,186.66,184.5
2001,11.21,15.05,46.68,77.89,69.34,106.93,131.33,170.09,170.71,199.07,198.7,218.86,221.87,234.87,239.76,248.52,251.92,259.57,260.58,267.86,266.63,273.67,270.48,278.02,271.06,279.65,265.45,274.85,253.72,263.69,231.88,238.56,188.13,184.3
2002,11.19,15.05,46.63,77.88,69.37,106.95,131.59,170.26,171.27,199.39,199.56,219.23,222.95,235.42,241.23,249.34,253.62,260.52,262.4,268.87,268.49,274.69,272.45,279.11,272.91,280.63,267.21,275.64,255.65,264.27,234.03,239.21,190.24,184.48
2003,11.17,15.05,46.58,77.84,69.36,106.94,131.84,170.41,171.79,199.7,200.39,219.57,223.98,235.93,242.61,250.09,255.26,261.42,264.2,269.83,270.31,275.66,274.33,280.1,274.71,281.63,268.97,276.63,257.62,265.02,236.24,240.04,192.65,184.93
2004,11.17,15.08,46.54,77.82,69.31,106.91,132.08,170.56,172.32,199.99,201.21,219.9,224.95,236.38,243.7,250.65,256.55,262.1,265.64,270.58,271.8,276.43,275.84,280.86,276.34,282.56,270.75,277.7,259.56,265.93,238.38,240.93,195.01,185.6
2005,11.19,15.12,46.54,77.84,69.25,106.87,132.33,170.71,172.88,200.29,202.03,220.24,225.83,236.74,244.27,250.89,257.21,262.41,266.42,270.95,272.65,276.82,276.68,281.27,277.66,283.33,272.56,278.73,261.44,267,240.32,241.76,196.92,186.44
2006,11.23,15.19,46.61,77.93,69.2,106.87,132.7,171.15,173.67,200.9,203.12,220.95,227.08,237.52,245.1,251.45,258.13,263.01,267.47,271.59,273.81,277.51,277.69,281.94,279.24,284.35,274.82,279.98,263.67,268.39,242.43,242.83,198.99,187.63
2007,11.29,15.27,46.75,78.08,69.17,106.95,133.21,171.98,174.7,201.92,204.53,222.15,228.89,238.92,246.83,252.78,260.07,264.38,269.55,273,275.97,278.96,279.72,283.39,281.51,285.87,277.57,281.61,266.35,270.14,244.88,244.37,201.66,189.19
2008,11.36,15.36,46.97,78.29,69.19,107.1,133.83,172.97,175.76,203.07,205.93,223.5,230.77,240.5,248.99,254.41,262.44,266.07,272.06,274.75,278.54,280.77,282.29,285.21,284.09,287.59,280.3,283.38,268.97,271.99,247.19,246.11,204.39,190.85
2009,11.44,15.45,47.26,78.55,69.29,107.31,134.5,173.9,176.62,204.05,207,224.65,232.28,241.78,251.1,255.93,264.68,267.67,274.38,276.43,280.94,282.5,284.91,286.97,286.61,289.22,282.5,285.05,271.02,273.72,248.91,247.79,206.63,192.27
