State,Age,Persons,Males,Females
India,All ages,838567936,435208158,403359778
India,0-6,150411840,77322153,73089687
India,7,19723238,10033918,9689320
India,8,27686556,14312222,13374334
India,9,15851130,8111523,7739607
India,10,29027602,15311047,13716555
India,11,13118793,6861510,6257283
India,12,24939761,13305117,11634644
India,13,14462244,7454575,7007669
India,14,17143498,9015381,8128117
India,15-19,79034929,42231074,36803855
India,20-24,74472704,37514223,36958481
India,25-29,69239258,34546587,34692671
India,30-34,58404484,29917765,28486719
India,35-39,52398870,27558300,24840570
India,40-44,42556339,22842245,19714094
India,45-49,36133798,18954561,17179237
India,50-54,31113592,16904890,14208702
India,55-59,21472502,10941747,10530755
India,60-64,22748976,11907237,10841739
India,65-69,12858499,6493630,6364869
India,70-74,10554081,5535950,5018131
India,75-79,4145573,2102284,2043289
India,80+,6374511,3324624,3049887
India,Age not stated,4695158,2705595,1989563
Uttar Pradesh,All ages,132351790,70551553,61802994
Uttar Pradesh,0-6,27036888,14022338,13014583
Uttar Pradesh,7,3026264,1569552,1456690
Uttar Pradesh,8,5182556,2758320,2424246
Uttar Pradesh,9,2259129,1194990,1064155
Uttar Pradesh,10,5292861,2931388,2361619
Uttar Pradesh,11,1826305,980875,845429
Uttar Pradesh,12,4231901,2344282,1887770
Uttar Pradesh,13,2100490,1108927,991624
Uttar Pradesh,14,2700776,1455303,1245561
Uttar Pradesh,15-19,12061199,6862822,5200179
Uttar Pradesh,20-24,10759636,5527317,5231776
Uttar Pradesh,25-29,9733488,4999475,4734306
Uttar Pradesh,30-34,8539620,4345799,4193950
Uttar Pradesh,35-39,7482640,3927612,3555297
Uttar Pradesh,40-44,6483565,3535923,2947895
Uttar Pradesh,45-49,5410559,2812845,2597712
Uttar Pradesh,50-54,4836293,2815429,2021613
Uttar Pradesh,55-59,3211938,1598738,1613070
Uttar Pradesh,60-64,3667800,2076639,1592059
Uttar Pradesh,65-69,1966754,1043356,923631
Uttar Pradesh,70-74,1678911,986959,692416
Uttar Pradesh,75-79,602006,326433,275597
Uttar Pradesh,80+,1126054,642147,484147
Uttar Pradesh,Age not stated,951792,580686,371107
Manipur,All ages,1837149,938359,898790
Manipur,0-6,306617,155308,151309
Manipur,7,39804,19920,19884
Manipur,8,53832,27302,26530
Manipur,9,27931,14109,13822
Manipur,10,60416,31044,29372
Manipur,11,28063,14284,13779
Manipur,12,51237,25975,25262
Manipur,13,37746,18774,18972
Manipur,14,41791,20735,21056
Manipur,15-19,196842,96881,99961
Manipur,20-24,182567,92812,89755
Manipur,25-29,166216,82968,83248
Manipur,30-34,127909,65057,62852
Manipur,35-39,116220,60944,55276
Manipur,40-44,89443,47985,41458
Manipur,45-49,72524,37825,34699
Manipur,50-54,60271,31933,28338
Manipur,55-59,47091,24572,22519
Manipur,60-64,43709,23632,20077
Manipur,65-69,25903,14221,11682
Manipur,70-74,19705,10576,9129
Manipur,75-79,9909,5090,4819
Manipur,80+,11879,6020,5859
Manipur,Age not stated,19524,10392,9132
Tamil Nadu,All ages,55858946,28298975,27559971
Tamil Nadu,0-6,7448059,3823011,3625048
Tamil Nadu,7,1259182,641091,618091
Tamil Nadu,8,1358223,680833,677390
Tamil Nadu,9,1127312,572872,554440
Tamil Nadu,10,1523645,769188,754457
Tamil Nadu,11,951617,493499,458118
Tamil Nadu,12,1408722,724831,683891
Tamil Nadu,13,1112573,563258,549315
Tamil Nadu,14,1015845,522145,493700
Tamil Nadu,15-19,5585847,2777578,2808269
Tamil Nadu,20-24,5279515,2586859,2692656
Tamil Nadu,25-29,5027806,2446036,2581770
Tamil Nadu,30-34,3947427,2001641,1945786
Tamil Nadu,35-39,3967365,1985126,1982239
Tamil Nadu,40-44,3196873,1669929,1526944
Tamil Nadu,45-49,3020029,1550636,1469393
Tamil Nadu,50-54,2425209,1260863,1164346
Tamil Nadu,55-59,1858821,968137,890684
Tamil Nadu,60-64,1676410,864989,811421
Tamil Nadu,65-69,1025432,530274,495158
Tamil Nadu,70-74,743073,389787,353286
Tamil Nadu,75-79,332115,177509,154606
Tamil Nadu,80+,384792,201199,183593
Goa,All ages,1169793,594790,575003
Goa,0-6,137316,69910,67406
Goa,7,21766,10947,10819
Goa,8,25320,12881,12439
Goa,9,20763,10423,10340
Goa,10,29211,14898,14313
Goa,11,20692,10548,10144
Goa,12,29658,15496,14162
Goa,13,22771,11471,11300
Goa,14,26600,13638,12962
Goa,15-19,130846,66676,64170
Goa,20-24,128114,67394,60720
Goa,25-29,108529,54983,53546
Goa,30-34,90678,47583,43095
Goa,35-39,82547,41929,40618
Goa,40-44,68611,36253,32358
Goa,45-49,59712,31234,28478
Goa,50-54,48005,24893,23112
Goa,55-59,32904,16187,16717
Goa,60-64,32899,14800,18099
Goa,65-69,19897,8592,11305
Goa,70-74,15257,6343,8914
Goa,75-79,6995,3035,3960
Goa,80+,7459,2967,4492
Goa,Age not stated,3243,1709,1534
Nagaland,All ages,1209546,641282,568264
Nagaland,0-6,207487,104102,103385
Nagaland,7,25093,12649,12444
Nagaland,8,41013,20905,20108
Nagaland,9,21569,11107,10462
Nagaland,10,44668,23115,21553
Nagaland,11,17357,8933,8424
Nagaland,12,40306,20689,19617
Nagaland,13,21376,11005,10371
Nagaland,14,32175,16518,15657
Nagaland,15-19,141551,73879,67672
Nagaland,20-24,117841,63642,54199
Nagaland,25-29,100586,52693,47893
Nagaland,30-34,75254,39654,35600
Nagaland,35-39,71365,38159,33206
Nagaland,40-44,58994,33212,25782
Nagaland,45-49,50818,28867,21951
Nagaland,50-54,38077,22012,16065
Nagaland,55-59,24128,14029,10099
Nagaland,60-64,22775,13248,9527
Nagaland,65-69,13562,7815,5747
Nagaland,70-74,10644,6202,4442
Nagaland,75-79,6043,3541,2502
Nagaland,80+,10753,6610,4143
Nagaland,Age not stated,16111,8696,7415
Madhya Pradesh,All ages,49197005,25704761,23493571
Madhya Pradesh,0-6,9845492,5070151,4775069
Madhya Pradesh,7,1184518,595132,589270
Madhya Pradesh,8,1696814,869439,827294
Madhya Pradesh,9,903721,457627,446023
Madhya Pradesh,10,1705688,891904,813699
Madhya Pradesh,11,751030,399664,351340
Madhya Pradesh,12,1478985,793370,685635
Madhya Pradesh,13,826500,438219,388402
Madhya Pradesh,14,994857,540782,454285
Madhya Pradesh,15-19,21784410,12047106,9738048
Madhya Pradesh,20-24,4399989,2204013,2193730
Madhya Pradesh,25-29,4012638,2034440,1978202
Madhya Pradesh,30-34,3379880,1762502,1618229
Madhya Pradesh,35-39,2805954,1508897,1297545
Madhya Pradesh,40-44,2285569,1222364,1062718
Madhya Pradesh,45-49,1964419,1019123,945054
Madhya Pradesh,50-54,1703637,942039,761953
Madhya Pradesh,55-59,1185559,592705,592743
Madhya Pradesh,60-64,1286476,682587,605373
Madhya Pradesh,65-69,704782,350866,354326
Madhya Pradesh,70-74,603587,308812,294896
Madhya Pradesh,75-79,229972,111753,118276
Madhya Pradesh,80+,426241,224066,202502
Madhya Pradesh,Age not stated,518662,293837,224651
Uttarakhand,All ages,6431954,3321322,3107785
Uttarakhand,0-6,1162734,605560,557140
Uttarakhand,7,144065,73592,70494
Uttarakhand,8,199084,104088,94985
Uttarakhand,9,125761,65387,60357
Uttarakhand,10,202568,108064,94357
Uttarakhand,11,119191,62060,57131
Uttarakhand,12,187422,99881,87389
Uttarakhand,13,130813,66909,63842
Uttarakhand,14,145284,76075,69120
Uttarakhand,15-19,3844727,2055379,1782559
Uttarakhand,20-24,600171,294567,306146
Uttarakhand,25-29,516563,253100,263169
Uttarakhand,30-34,432081,217574,214377
Uttarakhand,35-39,402271,201349,200652
Uttarakhand,40-44,350441,183813,166374
Uttarakhand,45-49,306173,154221,151953
Uttarakhand,50-54,280323,151498,128075
Uttarakhand,55-59,186406,95368,91167
Uttarakhand,60-64,196124,104483,90742
Uttarakhand,65-69,112904,57364,55306
Uttarakhand,70-74,95432,51628,43339
Uttarakhand,75-79,38597,20454,18118
Uttarakhand,80+,62356,32800,29315
Uttarakhand,Age not stated,22951,13994,8955
Chattisgarh,All ages,16984164,8562531,8420305
Chattisgarh,0-6,3246077,1635952,1610396
Chattisgarh,7,392415,193540,198990
Chattisgarh,8,486173,244658,241595
Chattisgarh,9,343848,169652,174266
Chattisgarh,10,528406,268575,259915
Chattisgarh,11,292018,150615,141428
Chattisgarh,12,462642,237795,224826
Chattisgarh,13,306446,156386,149938
Chattisgarh,14,331109,172101,158797
Chattisgarh,15-19,7581449,3955743,3624961
Chattisgarh,20-24,1423085,677295,748035
Chattisgarh,25-29,1408186,701125,707056
Chattisgarh,30-34,1198751,608437,589462
Chattisgarh,35-39,1018036,533758,483789
Chattisgarh,40-44,830555,422296,408745
Chattisgarh,45-49,762500,383790,378951
Chattisgarh,50-54,674397,349839,324202
Chattisgarh,55-59,478918,241311,237717
Chattisgarh,60-64,465355,231572,232298
Chattisgarh,65-69,257012,121536,135065
Chattisgarh,70-74,203423,94819,108482
Chattisgarh,75-79,80003,36486,43459
Chattisgarh,80+,132346,67155,64863
Chattisgarh,Age not stated,91304,53715,37762
