State,Age,Persons,Males,Females,
INDIA,All ages,104545716,52547215,51998501,
INDIA,0-6,16738830,8553722,8185108,
INDIA,7,2504796,1273411,1231385,
INDIA,8,2712856,1382362,1330494,
INDIA,9,2342622,1187632,1154990,
INDIA,10,2968344,1520082,1448262,
INDIA,11,2398088,1226703,1171385,
INDIA,12,2731482,1397414,1334068,
INDIA,13,2303140,1168671,1134469,
INDIA,14,2328169,1190504,1137665,
INDIA,15,2385906,1240994,1144912,
INDIA,16,2210532,1145420,1065112,
INDIA,17,1806203,939261,866942,
INDIA,18,2409340,1221725,1187615,
INDIA,19,1732226,840701,891525,
INDIA,20-24,9382986,4621520,4761466,
INDIA,25-29,8383600,4181307,4202293,
INDIA,30-34,7177453,3555926,3621527,
INDIA,35-39,6868927,3418187,3450740,
INDIA,40-44,5886228,2973518,2912710,
INDIA,45-49,5046615,2570489,2476126,
INDIA,50-54,3833846,1983709,1850137,
INDIA,55-59,2921599,1417938,1503661,
INDIA,60-64,2796863,1340318,1456545,
INDIA,65-69,1902014,884214,1017800,
INDIA,70-74,1301761,620492,681269,
INDIA,75-79,551250,251109,300141,
INDIA,80+,642495,298053,344442,
INDIA,Age not stated,277545,141833,135712,
UTTARAKHAND,All ages,291903,148669,143234,
UTTARAKHAND,0-6,34556,17912,16644,
UTTARAKHAND,7,5729,2906,2823,
UTTARAKHAND,8,5883,3128,2755,
UTTARAKHAND,9,5708,2907,2801,
UTTARAKHAND,10,7158,3749,3409,
UTTARAKHAND,11,6369,3346,3023,
UTTARAKHAND,12,7221,3713,3508,
UTTARAKHAND,13,6745,3416,3329,
UTTARAKHAND,14,7192,3711,3481,
UTTARAKHAND,15,7579,3822,3757,
UTTARAKHAND,16,7413,3711,3702,
UTTARAKHAND,17,6492,3262,3230,
UTTARAKHAND,18,8400,4249,4151,
UTTARAKHAND,19,6270,3146,3124,
UTTARAKHAND,20-24,29918,14751,15167,
UTTARAKHAND,25-29,23888,11966,11922,
UTTARAKHAND,30-34,20237,10197,10040,
UTTARAKHAND,35-39,19471,9926,9545,
UTTARAKHAND,40-44,16119,8355,7764,
UTTARAKHAND,45-49,13401,7005,6396,
UTTARAKHAND,50-54,10566,5415,5151,
UTTARAKHAND,55-59,8904,4225,4679,
UTTARAKHAND,60-64,10312,5268,5044,
