Prevalence-Rate,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
1990,8.57 13.27 4.76,12.44 19.00 7.14,60.43 92.13 37.51,99.51 146.33 66.57,163.20 218.02 122.15,193.12 260.96 143.54,210.82 272.42 164.60,226.99 291.75 178.25,214.94 277.03 167.80,231.02 294.31 181.80,216.75 277.56 171.08,233.01 296.22 182.83,216.81 278.56 170.33,233.83 297.45 184.32,214.64 275.01 168.88,232.63 297.56 186.68,207.59 265.77 163.73,226.03 289.63 179.16,195.86 248.59 154.13,213.95 274.25 169.47,176.34 229.22 134.00,190.02 242.85 141.89,148.84 196.62 105.71,152.66 204.36 105.81,130.07 176.21 86.68,124.75 176.36 79.77,105.32 152.01 65.09,88.43 136.89 50.75
1991,8.56 13.18 4.75,12.39 18.93 7.08,60.41 91.94 37.60,99.02 145.61 66.16,164.57 219.89 123.07,193.15 260.94 143.65,213.20 275.40 167.06,227.65 292.36 178.98,217.64 281.87 171.01,231.87 295.32 183.58,219.64 282.51 173.62,233.96 297.00 184.52,219.79 282.14 173.05,234.82 298.51 185.15,217.62 278.89 171.68,233.58 299.29 186.92,210.59 270.42 166.09,227.05 291.05 180.84,198.67 252.72 155.66,214.88 274.91 170.66,179.20 233.02 136.16,191.10 244.10 143.09,151.00 199.72 107.06,153.83 206.27 106.09,132.01 179.01 87.86,126.21 178.96 80.13,107.05 154.13 66.28,89.97 139.68 51.48
1992,8.56 13.12 4.74,12.35 18.88 7.03,60.52 91.97 37.80,98.77 144.97 66.18,165.85 221.67 123.87,193.29 261.10 143.80,215.64 278.29 169.15,228.43 292.74 179.70,220.41 286.36 173.73,232.87 295.72 184.96,222.58 287.00 175.88,235.05 298.20 186.02,222.83 286.79 175.53,235.94 299.65 186.44,220.67 283.24 174.59,234.71 301.02 187.73,213.59 274.19 168.53,228.21 292.99 181.57,201.53 256.76 157.42,216.00 275.61 171.91,181.91 236.37 138.50,192.38 245.38 143.98,153.09 202.54 108.42,155.17 208.20 106.95,133.73 181.36 88.94,127.64 180.95 80.83,108.70 155.95 67.38,91.46 141.77 52.16
1993,8.56 13.09 4.76,12.32 18.85 7.00,60.74 92.30 38.08,98.72 144.61 66.21,166.98 223.31 124.59,193.48 261.38 144.32,217.81 281.27 170.74,229.19 293.30 180.28,222.86 289.97 175.74,233.82 296.06 185.68,225.18 290.93 178.01,236.08 299.61 187.15,225.55 291.03 177.45,237.00 300.66 187.39,223.39 287.29 176.92,235.79 302.49 188.69,216.25 277.77 170.43,229.33 294.61 182.04,204.11 260.42 159.17,217.11 276.34 172.91,184.27 239.08 140.59,193.67 246.78 144.61,154.94 204.95 109.67,156.43 209.95 107.58,135.21 183.32 89.95,128.88 182.68 81.69,110.19 157.73 68.42,92.75 143.44 52.94
1994,8.57 13.03 4.77,12.31 18.84 6.98,61.02 92.99 38.33,98.83 144.47 66.18,167.88 224.52 125.30,193.67 261.74 144.84,219.39 283.85 171.67,229.78 294.13 180.76,224.64 292.30 176.75,234.54 296.54 185.98,227.08 294.56 179.27,236.86 300.77 187.85,227.54 293.93 178.97,237.79 301.31 187.79,225.41 290.69 178.09,236.61 303.69 189.39,218.24 280.76 171.40,230.19 296.15 182.10,206.10 263.44 160.82,218.01 277.39 173.34,186.05 240.96 142.30,194.73 247.97 145.36,156.44 207.17 110.60,157.43 211.30 108.50,136.45 185.04 90.59,129.77 183.39 82.41,111.48 159.30 69.40,93.63 144.01 53.68
1995,8.60 12.98 4.80,12.32 18.87 6.97,61.32 93.69 38.43,99.07 144.47 66.11,168.44 225.02 125.73,193.78 262.12 145.14,220.06 285.41 171.68,230.04 294.58 180.55,225.39 293.45 176.44,234.87 297.06 185.27,227.90 297.05 179.01,237.19 301.25 187.52,228.44 295.84 178.77,238.12 301.73 187.37,226.35 293.18 177.89,236.98 304.56 189.16,219.19 282.74 171.74,230.59 296.74 181.40,207.16 265.58 160.88,218.52 279.08 173.01,187.02 241.83 143.40,195.35 248.99 145.78,157.48 208.02 110.96,157.96 211.86 109.38,137.39 186.03 91.05,130.07 183.23 82.79,112.51 160.37 70.32,93.90 143.72 53.69
1996,8.65 13.07 4.83,12.37 18.96 7.00,61.67 93.82 38.66,99.47 145.07 66.40,168.90 225.77 126.11,194.02 262.46 145.09,220.59 285.74 172.02,230.42 295.37 180.74,225.87 294.88 177.29,235.19 297.64 185.56,228.48 297.41 179.78,237.54 302.29 187.71,229.07 297.53 179.17,238.49 302.54 187.78,227.00 292.92 178.80,237.41 305.75 189.09,219.86 283.09 171.93,231.10 297.51 181.33,207.94 266.42 161.39,219.17 279.54 173.42,187.74 243.54 143.62,196.06 249.70 146.54,158.24 209.39 111.35,158.56 212.80 109.30,138.04 187.10 91.35,130.27 184.40 83.16,113.25 161.77 70.70,94.10 144.76 53.68
1997,8.73 13.24 4.88,12.47 19.11 7.06,62.07 94.40 38.91,100.02 145.99 66.81,169.45 226.25 126.64,194.54 263.28 145.07,221.70 286.30 172.80,231.20 296.41 181.00,227.00 295.50 178.24,235.96 298.57 186.15,229.76 298.25 180.89,238.41 303.66 188.88,230.33 299.37 180.23,239.37 303.75 188.52,228.26 293.88 180.06,238.35 307.37 189.97,221.08 283.66 173.09,232.23 298.33 182.70,209.15 267.25 162.76,220.40 280.59 174.30,188.80 244.82 144.44,197.19 250.93 147.70,159.09 210.56 111.88,159.75 214.27 110.35,138.59 187.88 91.81,131.00 185.73 84.12,113.75 162.54 70.88,94.65 145.94 54.23
1998,8.82 13.43 4.93,12.57 19.27 7.15,62.45 95.07 39.11,100.57 146.94 67.21,170.03 226.85 127.21,195.19 264.29 145.39,223.08 287.83 173.87,232.15 297.59 182.11,228.48 296.22 179.54,236.96 299.72 187.61,231.37 299.55 181.68,239.50 305.09 190.03,231.92 301.27 181.28,240.49 305.47 189.58,229.85 295.47 181.20,239.53 309.21 191.10,222.62 284.60 174.81,233.56 300.71 184.46,210.63 268.08 164.63,221.83 282.15 175.35,190.11 246.06 145.33,198.46 252.21 149.01,160.05 211.24 112.55,161.21 216.01 111.93,139.16 188.65 92.36,132.09 186.83 85.31,114.16 162.86 71.08,95.46 147.15 55.07
