Prevalence-Rate-Global-Type-1,0-5-Male,0-5-Female,5-14-Male,5-14-Female,15-39-Male,15-39-Female,40-44-Male,40-44-Female,45-49-Male,45-49-Male,50-54-Male,50-54-Female,55-59-Male,55-59-Female,60-64-Male,60-64-Female,65-69-Male,65-69-Female,70-74-Male,70-74-Female,75-84-Male,75-84-Female,85-89-Male,85-89-Female,90-94-Male,90-94-Female,95+-Male,95+-Female
Year,Male,Female,Male ,Female,Male,Female,Male ,Female,Male ,Female,Male,Female,Male ,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
1990,18.07 22.88 14.01,16.53 21.89 11.84,83.59 111.10 61.74,103.56 136.12 76.92,188.14 228.75 153.49,212.36 262.29 172.31,253.94 301.34 215.98,270.10 320.66 227.93,262.78 309.92 222.78,280.43 331.25 236.02,265.82 313.38 224.18,283.79 336.02 238.86,270.48 319.56 230.28,289.70 343.12 246.51,283.01 334.91 241.94,302.75 360.73 259.02,295.02 347.53 253.88,315.88 372.65 271.67,295.92 348.59 252.66,318.63 373.38 271.47,313.39 368.34 265.46,342.27 398.90 291.46,329.95 394.58 273.90,379.48 447.90 319.48,353.23 428.91 296.36,422.71 505.70 360.55,384.47 465.24 324.05,453.95 543.30 386.10
1991,18.32 23.05 14.27,16.67 22.03 12.03,84.02 111.47 62.29,103.56 135.92 77.02,189.48 229.84 154.82,213.01 262.48 173.21,255.04 302.72 217.15,269.78 319.95 227.64,264.76 312.56 224.58,281.38 332.14 237.09,269.38 317.66 227.56,286.14 338.33 241.02,271.97 320.70 231.88,290.16 343.81 246.96,283.01 336.33 243.11,303.11 361.14 259.18,296.50 349.36 255.14,316.42 373.48 271.81,300.06 352.98 256.28,322.02 377.17 274.79,317.05 372.99 268.71,345.23 402.26 294.03,334.38 399.71 277.78,383.58 452.82 322.80,357.43 434.36 300.33,427.99 511.98 364.77,385.41 466.55 324.40,462.62 554.75 393.15
1992,18.63 23.31 14.60,16.85 22.26 12.20,84.44 111.84 62.78,103.57 135.77 77.11,190.94 231.10 156.28,213.80 262.89 174.16,255.14 303.17 217.41,268.75 318.48 226.97,268.54 317.04 227.86,283.66 334.39 239.38,272.89 321.84 230.81,288.44 340.50 243.18,274.19 323.07 234.02,291.15 344.92 247.88,285.37 337.48 244.09,303.30 361.22 259.39,297.71 350.86 256.31,316.61 373.64 271.85,304.93 358.37 260.74,326.02 381.46 278.83,319.94 376.64 271.32,347.58 405.19 296.44,339.16 405.09 282.02,388.15 458.31 327.26,360.79 438.22 303.88,432.07 516.45 368.46,384.24 465.50 323.32,469.04 562.60 398.31
1993,18.96 23.63 14.93,17.05 22.49 12.39,84.86 112.23 63.26,103.64 135.72 77.23,192.44 232.45 157.73,214.68 263.47 175.19,254.61 302.82 217.04,267.15 316.38 225.77,271.91 320.67 230.78,285.55 336.15 241.33,276.73 326.20 234.34,291.37 343.24 245.89,277.31 326.52 236.89,292.98 347.07 249.55,286.31 338.45 244.88,303.36 361.05 259.55,299.05 352.55 257.75,316.98 373.79 272.24,309.31 363.02 265.04,329.53 384.98 282.40,322.16 379.38 273.44,349.30 407.29 298.46,345.11 411.98 287.36,393.56 464.16 332.80,363.79 441.53 307.26,436.03 520.53 372.33,381.87 462.58 321.78,473.46 566.79 402.12
1994,19.28 23.93 15.24,17.26 22.72 12.58,85.22 112.53 63.70,103.75 135.78 77.36,193.85 233.74 158.83,215.55 264.12 176.03,255.67 304.29 218.06,267.20 316.30 225.91,272.23 320.67 231.13,284.86 334.92 241.09,280.46 330.26 237.77,293.85 345.69 248.19,280.93 330.60 240.15,295.64 350.19 251.89,287.05 339.07 245.51,303.27 360.61 259.70,299.76 353.48 258.84,316.97 373.46 272.49,312.70 366.41 268.54,332.35 387.43 285.28,324.37 381.85 275.69,350.91 409.03 300.56,350.90 418.60 292.74,398.46 469.20 338.13,366.49 444.35 309.92,439.71 524.32 376.32,379.51 459.41 320.62,476.61 568.47 405.51
1995,19.62 24.24 15.54,17.48 22.95 12.76,85.55 112.80 64.08,103.90 135.95 77.58,195.10 235.02 159.90,216.30 264.71 176.75,255.19 303.77 217.72,266.33 315.43 225.22,274.74 323.41 233.32,286.00 335.92 242.34,283.53 333.60 240.62,296.07 347.87 250.22,284.28 334.59 243.17,297.87 352.69 253.83,287.88 339.77 246.33,303.27 360.37 259.74,300.29 353.54 259.69,317.07 373.20 272.87,314.47 367.57 270.64,333.61 387.97 286.73,327.07 384.51 278.60,353.07 411.11 303.39,356.78 425.10 298.39,403.52 474.04 343.61,368.47 446.06 311.74,443.04 527.40 380.41,379.82 458.07 321.66,480.35 570.65 409.40
1996,20.03 24.78 15.97,17.75 23.23 12.98,86.07 113.64 64.52,104.24 136.31 77.85,196.42 236.46 161.14,217.05 265.35 177.47,256.82 305.25 219.41,267.67 316.97 226.59,276.07 324.89 234.60,286.04 335.93 242.58,285.69 336.30 242.80,297.25 348.94 251.41,288.32 339.06 246.95,300.93 355.96 256.74,289.35 341.63 247.86,303.96 361.01 260.32,301.55 355.18 260.79,317.85 374.14 273.81,315.56 368.84 271.84,334.38 388.55 287.64,330.78 388.31 282.42,356.41 414.39 306.31,363.24 432.60 304.48,409.14 479.84 349.01,372.27 449.47 315.16,447.75 532.10 385.46,381.20 460.02 323.38,484.96 574.86 413.98
1997,20.49 25.39 16.44,18.06 23.55 13.28,86.84 114.77 65.19,104.81 136.96 78.31,197.86 238.07 162.51,217.82 266.04 178.24,259.83 308.36 222.25,270.35 320.13 229.13,276.61 325.45 235.28,285.60 335.42 242.43,290.54 342.12 247.28,300.50 352.59 254.62,292.83 344.27 251.02,304.43 359.91 259.94,292.37 345.34 250.61,305.93 363.27 262.16,303.40 357.40 262.42,319.20 375.76 275.28,317.14 370.86 273.43,335.76 389.90 288.96,335.41 393.05 287.15,360.66 418.69 309.98,370.19 440.21 311.02,415.33 486.08 354.87,377.57 454.69 320.02,453.28 537.88 390.91,383.29 462.44 325.76,488.13 577.63 417.45
1998,20.96 26.01 16.90,18.39 23.93 13.58,87.77 115.97 65.99,105.54 137.82 78.95,199.22 239.58 163.75,218.47 266.62 178.79,264.44 313.50 226.49,274.52 325.07 232.90,276.71 325.47 235.41,284.72 334.43 241.86,295.04 347.46 251.46,303.47 356.02 257.57,298.08 350.42 255.69,308.74 364.67 263.78,296.74 350.30 254.56,309.13 366.90 265.11,305.60 359.47 264.34,320.69 377.66 276.70,319.37 373.68 275.61,337.70 392.09 290.41,339.74 397.40 291.68,364.48 422.44 313.19,377.71 448.51 318.31,421.63 492.70 360.80,385.24 463.48 327.29,459.73 544.88 397.00,386.58 466.99 328.92,491.06 581.46 421.01
